"","tree1","tree2","tree3"
"plot1",156.224757726517,19.6146589218484,15.2312589070594
"plot2",160.714865602754,52.01423789948,34.1457078004859
"plot3",138.919212745074,9.92875144281291,28.0215322747217
"plot4",144.242667233396,47.1874549268224,24.0937730558057
"plot5",156.150963662357,29.48786078592,42.4764169861561
"plot6",142.640346844296,18.0987300479468,24.5430490361497
"plot7",179.999856558979,36.7470756784352,-9.29500345518248
"plot8",142.015212366864,24.3970500713825,31.838302361021
"plot9",150.64851891653,18.5166398932128,18.3403134423844
"plot10",134.484536679794,25.0995946010191,28.9896630619605
"plot11",137.322280143687,9.40228686968874,24.3294936524893
"plot12",178.898774678185,234.980415496848,57.9479739732662
"plot13",157.428662195217,254.300852659021,63.7932424025959
"plot14",161.837376997325,253.327692879794,72.1199186033109
"plot15",138.85090452639,262.807308781761,55.4719646017429
"plot16",136.552640861835,248.902888375483,75.0773771855629
"plot17",152.11287337531,231.991717377179,82.6775113142605
"plot18",125.829859137851,216.699919585593,77.0140765835577
"plot19",143.115527392086,267.497424206779,89.4777206988125
"plot20",143.555736716234,231.849751982544,63.3977695048647
"plot21",161.438152759865,248.850898686627,62.549226406559
"plot22",155.472565163975,253.049376706079,57.6738127280669
"plot23",147.178871426338,32.2518525194937,311.471238072016
"plot24",148.10519559663,3.3603669033296,292.046197131471
"plot25",175.788703426513,19.2468066000649,307.290057414228
"plot26",145.249168628678,35.3500222107118,299.046660447992
"plot27",138.320707653225,23.3746111867143,316.46911475478
"plot28",162.683978953772,23.550244250382,309.418836965224
"plot29",150.902731858185,10.4851483355655,325.627918648854
"plot30",163.959401742277,25.8097445294376,278.303823133751
"plot31",131.511146540312,12.6603894465073,309.587102883983
"plot32",158.834235968807,34.2284671447945,295.850377886733
"plot33",153.731084115132,27.8781173984468,292.086641976842
