"","species1","species2","species3","species4","species5","species6"
"alp1",-0.207065749385421,69999.9060444011,134.201018691813,135.511947023627,136.337383588445,135.701705412638
"alp2",1.27742924211066,69999.6808075614,134.48939908287,135.254380990895,136.059149918842,134.601929000785
"alp3",2.08444117668306,69999.2443653611,134.282545740829,136.367721780654,135.583635458663,135.655291389634
"alp4",-1.34569770262935,70000.4589818827,134.379462621754,135.271870730943,134.941700613889,134.07578864703
"alp5",1.42912468881105,70000.7017126475,133.441932941548,135.458592537888,134.885833259104,134.661828351372
"alp6",1.50605589215757,69998.3756883904,133.591478865585,134.214003163864,135.52631746981,136.806618082803
"alp7",0.425260039865351,69998.8511556143,136.082179517434,134.537801430703,135.420610589918,133.907290655679
"alp8",0.453368144215813,69998.2563902753,135.627605285767,134.577899431794,135.725830048401,136.055014499955
"alp9",0.435548000906717,69999.2528815147,133.234122117324,135.754355436058,135.716407386205,134.900034365072
"alp10",0.109962170955896,69999.2553743489,136.148380826354,134.468741710172,136.486615029938,134.426830047515
"alp11",0.522807300246453,69999.4559972849,136.488261254889,132.249431744577,133.613674976595,136.320539189034
"alp12",0.00161355514029604,69998.8992163337,134.485675979587,134.95472628275,135.335385369106,134.31827364077
"alp13",0.22374610536201,69999.4175421247,135.503672117437,135.253571039176,136.61491728794,136.591932972927
"alp14",1.06445881727627,70001.8076027966,135.758260261193,133.719561127847,133.724801769017,135.055395508973
"alp15",1.95949405897077,69999.0610239327,135.5759139618,135.771006039783,134.629191632156,134.582144118552
"alp16",0.889714505609226,69998.8226516756,135.6308700806,135.595299222661,135.51325030592,134.198666496378
"alp17",0.488990494193358,69998.2704381026,134.525764456767,134.410539201224,134.73612871375,135.361478491914
"alp18",0.0888045833701888,69999.7986607759,134.95825897095,133.566255588384,135.319184120641,133.608410991883
"alp19",0.16282831973106,70000.5183238514,132.674660811334,134.536786271252,133.938957024525,133.31040493953
"alp20",3.41583517848934,69998.9631282704,134.414842450066,135.141803663987,132.989411214387,135.607876842716
"alp21",1.13408822015203,70000.0170579739,137.174660916483,135.984960498526,136.127015677541,133.814331334595
"alp22",0.509314103309057,70001.1311529306,134.692373619692,135.06899789202,134.24581707188,132.293559242168
"alp23",0.559452127646773,70000.2408018517,135.361878427786,132.897164295763,134.919290236203,135.594926469088
"alp24",1.45958944100585,70000.9996589521,135.255331986757,134.154095363257,136.032964368095,135.033767783519
"alp25",0.306279753062525,69999.5676575695,135.576918072694,133.937928929504,134.911811490472,134.247903916839
"alp26",-0.448204910386472,70001.4465224109,135.881468765172,134.717377190871,135.481334456542,133.659030908417
"alp27",1.57475572090073,70001.6969279302,135.74188427203,135.908916439806,134.630356509152,135.834405905741
"alp28",-0.023655722963879,69999.0664588891,133.912335801103,134.242351632895,134.105207424802,136.252635650772
"alp29",0.984861699635818,70001.0776223381,133.912556640462,134.678886095169,134.650497732527,135.740903691158
"alp30",0.0640513988316064,69999.5665522758,135.890921440343,134.456601314098,135.575560428662,136.459495317944
"alp31",2.10229754620026,69999.2676016339,135.664522036326,134.067024523304,136.287650709095,135.045311239662
"alp32",0.524406921130943,69999.6240190901,135.060653939852,135.524519898903,134.72652882704,133.7089425013
"alp33",0.290559962487494,70000.9895778496,133.732582441647,133.91348036532,135.219960316839,135.12263445189
"alp34",0.498741939405239,69998.6222908666,134.284718881956,134.570007798143,134.47089598489,135.989655864282
"alp35",-0.629093469078704,70001.0299151125,136.935820067452,135.44945098696,135.583555235,134.824724746648
"alp36",-0.167619262094186,69999.7433947949,134.106415560833,133.620405438186,135.595462392065,134.520590849346
"alp37",-1.18003964894867,70000.2953774089,136.425410187799,135.939748277944,134.649484915852,134.284780828277
"alp38",-0.340993192100028,69999.9502610453,136.159262576949,134.646256813806,135.511300835432,136.260940125707
"alp39",0.705706141236287,70001.503919877,134.21071799764,135.298178831404,133.880473211025,135.459437576443
"alp40",0.53410245959389,69999.2443929632,134.267832042893,134.826544659692,133.974374745785,135.900261921416
"alp41",2.44949626528713,69999.004096759,133.267430454261,135.48636913306,135.53021932685,134.626858115366
"alp42",-0.068642723674581,69999.8323482953,137.239426743391,133.659373116161,135.28249312338,132.303775669548
"alp43",0.144635366262493,70000.0654784228,137.632478367072,136.263863655512,134.507374179263,134.641772097206
"alp44",0.719376998042546,69999.2058132196,136.816761205741,133.347347056936,136.343931418807,135.881534969456
"alp45",0.0056599237043351,69998.8207584388,134.121795366819,133.240550497355,133.873389534558,135.156973693719
"alp46",0.031485682127951,70000.2208926037,134.373443783206,136.115423541784,135.77471904614,135.497917991155
"sub1",29999.3020120609,30002.2171581223,135.157048814871,136.648343154593,134.175460948129,134.906083632284
"sub2",29998.7151461443,29998.2125660242,135.152172118421,136.026931215361,134.668969918392,135.353011870131
"sub3",30000.9899590137,29998.835558863,135.733546884697,135.103238935764,134.400359443835,133.675595471476
"sub4",30000.1117758333,29999.783605812,134.105626493687,133.868014208469,135.259027943087,133.929461348498
"sub5",30000.1142076714,30000.6599909773,136.001915175023,134.190473294637,134.425118044702,135.674302199693
"sub6",30001.6981965238,29999.7654434178,133.915713678982,135.351874690948,133.912340164852,135.49854578823
"sub7",30000.0478456195,30000.179102855,135.323716780801,134.688243276865,134.124161615554,135.436069230016
"sub8",30000.6548624099,29999.0993566895,134.652297447057,135.102575623186,136.444019218839,134.846940332342
"sub9",30001.3652836695,29999.1578334015,134.803710411717,136.555359921193,132.966068545539,135.977997888821
"sub10",30000.4025729624,30000.5827501591,135.023374817162,132.960684484153,133.625443038792,133.607725570628
"sub11",29999.0596338704,30000.4177164616,134.282226582549,132.380496030668,133.870732215317,132.647144075331
"sub12",30001.0849638942,30001.2740293,137.34888491602,134.452792552202,133.7372150072,135.382722712943
"sub13",29999.2498430669,29999.4291374842,134.683248689604,133.967206996623,135.833825469391,136.282983517552
"sub14",29999.57830723,30001.5909326926,135.594854066325,135.951232068521,134.098877568892,132.56938595903
"sub15",29999.1768240655,30000.3296051036,133.947189512264,136.364548858185,134.984186510664,137.042688630976
"sub16",30000.4127003362,30000.7894375683,136.356651913129,137.241459074957,134.84969925288,134.364040549579
"sub17",30000.6132975805,30000.6458573179,135.566086393686,135.406467367026,134.587617055382,136.300586077338
"sub18",29999.5460608093,29999.8114666084,136.458274135789,136.443845059721,133.534110964273,133.992919002884
"sub19",29999.3337716449,30000.5606987016,133.635181973428,134.959548111851,136.274790137532,134.258842487513
"sub20",30000.3165465252,29999.1028513105,134.127602116108,135.120514626828,135.820445609111,135.306999693536
"sub21",29999.9991134937,29998.2720536088,133.273236502367,134.668235696377,134.810291402914,134.49269450134
"sub22",29998.0053198904,29998.9385426513,136.61018408684,134.497665376867,135.956420929457,135.809825267685
"sub23",30001.2087497085,29999.0047798859,136.236285352194,133.561420757226,136.311234936845,136.279112093314
"sub24",29999.5233932477,29999.1219283238,134.959278282123,133.389039718937,134.136552427074,133.934445864991
"sub25",30000.5546918089,29998.1063419568,135.295398631528,133.521239534176,134.843995754516,134.839688640134
"sub26",29999.6529244015,30000.3261256812,135.075618133372,134.19897254542,133.810787099279,134.096849248709
"sub27",29999.4686450402,29998.9529756686,136.467564747547,134.194031285101,134.630243080792,136.266550596475
"sub28",29999.9857013987,30000.1265035274,135.110494128791,133.823407757277,133.076372474795,134.395943694753
"sub29",29998.801036381,29999.8967749886,133.54126139106,135.596693557268,134.939111700041,135.172245783035
"sub30",30000.2316116038,30000.09092632,134.491787573942,133.480100407101,135.566230353847,135.756568619298
"sub31",29998.697390062,29998.9881814585,135.983545645448,134.806093733568,135.96086163332,134.994364724197
"sub32",29998.6259110929,29997.9124153151,135.284150179691,135.739673240821,133.830734587788,135.59348879751
"sub33",30002.2317652538,29998.8142371618,135.380142996965,135.239976307795,135.020123766115,137.077699436855
"sub34",29999.5014273127,29999.6083604956,134.894245815563,134.360592891943,136.793470193069,134.03744753468
"sub35",30001.714613923,30000.0051591299,135.237637672219,135.093067423965,133.414271339312,136.138601259099
"sub36",30001.0193309905,29999.9035016563,136.063473898471,134.557954316922,135.036060196832,134.836278521185
"sub37",30000.4322231401,30000.6200722936,134.345985961719,135.443004843408,134.248753296124,136.825927869291
"sub38",30000.1007199852,30000.153755843,134.757085022938,134.331047873126,137.233255257374,135.052459597116
"sub39",29997.5048994066,30001.1560706603,134.748494633691,135.879738269843,133.346990092753,133.880732040879
"sub40",30002.0014645042,29999.6604879001,133.537594235414,136.468831037717,136.150943850113,133.390400328419
"sub41",30000.1665340338,30000.9101297928,135.964706235025,133.635829931668,135.728983671101,134.431399960949
"sub42",29998.7320533064,29999.1622526737,135.740655590471,136.570293863171,135.899974497412,134.620152008676
"sub43",30000.2276324936,29998.6962856603,134.402260130677,133.902226150323,134.481162185642,134.457239504372
"sub44",29999.9786015148,29999.7336072439,135.45153732465,133.902595833697,135.290606388301,133.655635732511
"sub45",29999.6363297676,29998.6338143848,136.782430041859,134.17679162486,133.664034195434,135.206870945609
"sub46",30000.115668097,29999.4612370923,135.288839907279,135.492291625405,135.443797593955,134.238214731026
"val1",69999.0904011929,0.0424364591810861,134.849043115456,133.753626940506,135.541944008875,136.696856791151
"val2",69999.5090289557,0.436456485419225,135.977179457335,135.801453653273,135.193391048213,136.180146380746
"val3",69999.737379562,0.961518576060433,135.272886183942,133.583896404968,134.013927523596,134.683673355839
"val4",70000.9582158397,1.35403107356073,132.3246152503,134.901970178523,134.553088879497,134.97430451969
"val5",69998.3392690077,1.00330278109961,134.085099691896,136.219881266932,134.858977217405,133.617834778796
"val6",70000.3443761546,0.644618284091196,135.631681177855,134.625690147747,135.093869155316,134.649838982238
"val7",69998.7760707704,0.0105152186930526,133.126965491103,134.609861650409,133.77734436245,136.226459800568
"val8",70001.2824900202,0.450673488364079,135.164916641458,134.268285160056,134.919050487524,135.651754417062
"val9",69999.1605813826,1.63615703026103,136.93508544089,136.640724299955,134.534987640201,135.700610745963
"val10",70000.5800948571,1.71631168227658,134.52586043297,136.951329748282,137.149268905348,134.71122618697
"val11",70001.6055356661,1.05747309007215,136.207212286342,134.319714569706,134.150078181768,134.471093522945
"val12",70001.656007671,0.619241574550268,133.88666760838,135.552317342366,136.294035088379,136.478248762983
"val13",70000.8493811549,1.065859438376,135.173533227138,134.185110296247,133.493884434461,133.679866215942
"val14",69999.6596534175,1.73299613798981,134.072701283205,134.662317517342,135.791090437294,135.19811462409
"val15",70001.317391794,0.742651432447711,134.109049509511,134.20026107831,136.052502510706,135.956347119897
"val16",69999.5189841292,0.767711201095882,136.094885387737,135.303966397839,134.925560973557,136.100240570915
"val17",70000.3659650945,0.573289649835375,136.396854223612,133.478000080474,135.449627572233,135.671916558655
"val18",69999.8516485597,0.482404313754073,136.380598280458,137.316988587271,133.681893560307,136.064949011172
"val19",69999.3088098791,1.02323004678281,136.201053368322,135.71325505111,135.441418408902,134.854220911913
"val20",69999.508554059,-0.0272400437001716,136.166177397411,135.498647658718,135.658496172812,136.137266862642
"val21",69999.8965841388,-0.913711889175641,133.904862423042,134.17320888233,136.050189917484,135.028014516927
"val22",69999.586747698,-1.66812120334006,135.120744265362,134.28045752631,135.771902799503,136.460937064208
"val23",70001.6897548326,-0.179319087873831,133.236612713777,135.231978275696,134.646025610577,136.533276905059
"val24",69999.7455977109,1.91601810362582,135.121684450183,134.414484051269,133.115091135452,135.980556010644
"val25",70000.7272860494,-0.702685844567223,134.624669567594,134.363568880685,134.418858084406,134.700337435871
"val26",70000.5048840608,0.594739368263156,135.497051614745,134.732899113812,134.696427143959,134.865411473209
"val27",70000.3454491029,1.0382940151495,134.286624142606,135.046001062662,136.163331352788,136.107952487484
"val28",70000.3118145189,0.985156764920002,134.713138253907,136.585489582012,134.36944044066,135.746693011339
"val29",70000.5090225416,2.19736359189939,134.354687998745,135.155514785419,135.600181117362,134.731213892625
"val30",69999.8106228464,1.39997076186778,134.882160680549,134.687148016623,134.830678706513,135.670664890112
"val31",70001.5559606719,1.30946573773331,135.76241410471,136.193219897745,135.623832441999,135.062959883
"val32",70001.52889893,-0.328915536928668,134.466540653626,135.932882671826,134.958368603844,135.059069542641
"val33",69999.0209602983,1.18044044220817,135.044191960382,136.276594609628,134.56547300318,135.288502776665
