"","tree1","tree2","tree3","tree4","tree5","tree6"
"alpine1",-5.45703807541441,99.7508538604047,94.5985072170484,105.777525944879,100.753018721445,101.986360514758
"alpine2",8.45111544800225,110.073529311456,91.0020759333633,99.8854745875984,99.1803294020924,101.806818234101
"alpine3",0.960941654794868,93.7177256733915,96.5319136754989,109.48077192457,102.112782093417,91.6062897711701
"alpine4",19.0327762284232,121.004145430903,103.043534814066,106.203957719159,96.2973602233345,92.5594165795231
"alpine5",19.3411653721164,107.205034741173,102.292244770938,96.4243879934757,105.909534715798,110.908369696011
"alpine6",-27.701649156457,97.7068262235559,95.455963912188,107.179343455739,94.7352745623711,103.294982990513
"alpine7",-16.0782468579812,95.610916798911,89.0401668679943,107.617320621627,92.0058853274907,110.184248506801
"alpine8",4.62935323350438,103.423714678665,90.583558290896,100.814811444171,107.944622397665,98.407154871254
"alpine9",8.22443846052408,97.8551384281827,99.7475105254057,101.6779861846,85.0673581439818,95.9775850426231
"alpine10",-0.0431544539940234,100.26439675982,104.149667257122,103.316088316344,100.315819115632,95.6725387472227
"alpine11",-2.45199083132641,104.337291475201,89.8032013292676,88.9801618796851,99.7253729192666,97.6707184197267
"alpine12",-0.200611130112522,100.662686971684,109.977773717397,109.5255783014,101.853395507979,90.3698330085441
"alpine13",-4.71558815169166,110.698700137034,108.258486064217,84.4219888460647,103.344958092852,100.141001911765
"alpine14",-12.3359562440122,99.4796145868001,105.608500835444,100.404239992696,91.2022199761153,95.2099782278099
"alpine15",7.40753823807165,113.645248846715,96.9840131096362,97.9774694951933,110.463210219739,112.227944539476
"alpine16",-4.08491906359087,97.5490386653558,98.1592572597839,100.856889096465,100.735486513887,98.3666125289784
"alpine17",4.39259367427456,106.274380790106,117.180668244495,103.029436159381,88.3820489780091,107.381455100887
"alpine18",0.0973213024141226,104.72468427662,97.4970651240504,91.827140280458,98.5210272923391,98.9532612039395
"alpine19",-2.3551863919055,94.6277750366337,91.8195658306818,99.7139416848012,106.657547706198,103.503458725496
"alpine20",-0.275186588002924,97.2477513409753,100.401420480667,114.870574147231,108.181862484357,109.608611449154
"alpine21",13.0718309571777,99.8904196903969,101.212474741631,108.628374440331,113.952300810769,107.92118125623
"alpine22",-1.18034839251027,99.2238831389325,106.127596398684,111.809137686619,99.4838619195984,100.287398778422
"alpine23",-1.17221031511413,104.260869731966,94.796547810444,102.305761494944,97.2068274020804,103.917417915894
"alpine24",-10.1570279923002,89.5456138321221,95.6202336852117,101.815647068832,89.2044012447687,110.068760032111
"alpine25",4.63140989525994,107.207112749138,94.0722137635906,99.3447203673595,87.7219134126785,89.430808438854
"alpine26",-2.21902535456634,102.507445459001,107.657964200799,100.637991295825,108.487218075665,97.3519505538649
"alpine27",-12.3231340528122,105.985514584528,79.5657042498338,101.193108648916,101.196526341731,104.321496856358
"alpine28",4.37928153207627,98.5344993370089,102.389111742643,102.515947272532,104.050556878247,96.5695496200607
"alpine29",-2.97179723574022,105.041382283753,107.105761232848,89.5653997940784,103.447396389367,94.0143376533924
"alpine30",16.5237012972673,99.1213598631553,107.342158740267,82.6064046932898,104.707443785962,97.9956021629774
"subalp1",211.157894984013,101.838211428247,103.757568266107,101.580120595326,104.548855485442,111.497979381019
"subalp2",210.532872682086,103.511546773449,112.650605293388,99.694942071561,97.4689920741008,85.4768425511217
"subalp3",192.82552021098,97.0464164317021,103.034258833747,99.9566366246486,85.7789629395885,88.0559225277876
"subalp4",205.545188667528,80.537482937447,101.326719751336,93.7319193341286,101.951680124633,105.154712195142
"subalp5",203.042666094036,91.2413327030873,85.0448112307771,101.758883615768,107.01653076023,105.885793764118
"subalp6",196.932677040967,75.9770421958393,100.029857970943,109.370032440018,110.926857684818,109.180628815663
"subalp7",191.755651612827,114.860220791376,89.9000620823975,104.48315156278,108.088988688467,98.1749262779646
"subalp8",186.515316791033,91.9121973270443,95.9302257767013,88.7197083437842,97.6896149182931,98.1858721763515
"subalp9",203.086059858277,102.397146930004,95.7743285724719,96.4270442535509,96.1922965870249,105.032454999819
"subalp10",189.169512763801,95.4533156759582,105.68902436993,104.79686250323,102.097025303339,94.3628813246627
"subalp11",201.796679682418,93.9382058607551,101.539741841432,100.108371635444,86.5809744697149,104.877628657633
"subalp12",209.934641903923,95.8378966571703,98.418893963635,81.4332037620748,104.011151687929,94.105507179394
"subalp13",208.612989076751,95.2947632337309,108.442528195297,91.8269047902218,100.20793365331,88.4102985823688
"subalp14",198.521543095002,96.805401446858,98.403253282225,90.6001034610249,104.99789657171,95.3188126434191
"subalp15",211.190717610424,106.266684363734,99.5268001501162,89.1041098096597,94.080784725299,106.488288776343
"subalp16",188.368513934925,103.353374502221,94.5554929124743,91.8903347776023,100.410847824929,99.8978717148838
"subalp17",198.123712893481,98.0019360451704,103.976589746275,102.982504465652,86.6502741520427,98.5109811545464
"subalp18",206.971692332948,95.1939956080237,103.480565313379,89.7198087826203,98.2495180226736,93.3751095730025
"subalp19",197.176266820974,102.683397099008,112.027034956384,100.414253674205,96.0231472901041,100.861074543507
"subalp20",202.64526985283,104.653589901847,88.6983330541521,90.777225739327,93.296120954143,77.8802032329596
"subalp21",206.418488855044,109.784458074183,102.204713292129,98.5386283463718,96.8422636104302,102.443666631047
"subalp22",206.230681891732,100.836259467451,103.870747564356,96.9374485616134,94.3090489841497,89.5521484249914
"subalp23",202.938073146263,94.3471905021384,98.2466786845305,95.4090987753782,102.177311584283,108.72150605619
"subalp24",195.431404671409,92.8441924940551,101.833779370166,107.950019872741,88.1049706881608,95.0494809181439
"subalp25",196.477939700673,111.439465119141,93.4813445484108,113.228642597669,94.0186055999921,86.1314528490178
"subalp26",183.331866798835,99.8461902987281,91.3312188483173,102.287742693551,94.6649976779352,90.564529887688
"subalp27",208.004042958567,112.824492272031,104.292974743616,95.8808501420764,98.1821834117799,83.99511302575
"subalp28",209.665790284917,110.465032239245,86.6690238294929,101.61093773554,100.273824586931,112.2548085013
"subalp29",198.002414665869,87.1681188584211,96.5770553082759,105.310291746116,96.0072603990396,108.143639990388
"subalp30",196.719287757877,100.2554415611,102.267297917791,106.107721396459,106.442430900512,93.1791847439219
"valley1",401.802822355387,92.7894092646381,96.9308406871458,90.7873183060493,81.7002783776631,95.4362634459815
"valley2",414.711870830034,102.587437756373,99.0378431691078,104.128690177144,92.9727840112078,102.691766060408
"valley3",404.072983458254,109.422919588436,96.8618028756446,116.634327714605,108.281787144203,104.790321944994
"valley4",390.30445365451,94.1477417834774,95.5842461145814,91.8896447823134,91.646579065341,89.7636069984269
"valley5",413.324710455361,98.7488061937956,98.0072680138105,115.21945474417,105.016571422106,105.068688409665
"valley6",408.362098433131,105.771671472712,104.35454749462,88.1452554980829,97.0040338077847,102.152314534221
"valley7",392.81317729107,99.2284142484486,97.8184876303958,103.25466398275,110.972576878166,92.3157376394704
"valley8",392.302744624027,98.9248467122567,104.377497730261,99.7408623077847,93.8274394668641,102.14442172229
"valley9",399.157573440032,96.9724938542763,99.0678389394112,91.338992312059,107.747542694148,101.682954563805
"valley10",399.459937061457,110.246013784857,88.5964446161135,93.0772651729214,87.7052911601768,89.3227418610247
"valley11",390.430840183684,98.5370348968121,104.345982202014,115.395581771362,94.9208530802513,104.861450268808
"valley12",411.902995852613,102.578161343004,106.552340350342,105.929585101968,91.4606882784294,100.315445751016
"valley13",395.544458414202,94.8393441184238,118.402262045085,96.5704502161478,93.8170983844365,105.474974175455
"valley14",403.633847886359,87.3869217242779,97.1513568873921,96.7646425582853,103.999614759157,91.1775502777482
"valley15",395.240654464278,103.612385039597,103.678827006349,101.300804604073,96.3295044893265,91.1392719957675
"valley16",416.247748391519,99.5598870425365,93.927465710785,99.564534067545,90.6851346137748,104.056319233019
"valley17",400.951587372897,102.003357471845,105.421669264993,89.9273619695012,105.012776686058,103.953629963156
"valley18",402.605601573711,120.187982561382,113.291678974543,103.982756723545,90.3196894445035,109.019996180128
"valley19",387.341300723242,95.3512536351863,93.5809582382969,89.129813447246,105.15854477744,96.7493950292113
"valley20",397.255898801249,103.362238892744,99.5035592518595,97.1993966342072,110.357645168788,94.0317309891374
"valley21",406.702318224912,93.2246423049051,98.0001300517988,94.5209821021551,102.639994852789,103.458069383163
"valley22",396.418018966272,87.0829201897895,86.4512093755939,105.533706774427,102.569845975849,103.296596488719
"valley23",402.688694824237,98.8790835463108,98.7975840561785,107.048059568945,110.037347129656,109.7882162495
"valley24",405.961093614764,111.558616311719,100.856537555415,100.943859302562,97.2728567476708,103.789027712838
"valley25",397.728106420527,80.0073027848081,96.7153695921766,104.244726217291,102.45823851005,99.4427588283754
"valley26",401.588369698986,104.071459562477,92.5187089515785,96.7095747133468,105.567038144907,83.7459714378363
"valley27",389.3987741016,94.4325128346588,106.364278565685,90.883538769977,108.719317081546,109.569030886153
"valley28",403.255715144759,99.6678465509766,98.002048719021,104.476687217983,110.965619537417,105.021440983723
"valley29",404.97037866939,109.319388889625,97.4513162642372,86.9086570998205,90.6747309712412,102.73637129715
"valley30",386.780350465106,103.33338739271,116.538621815186,104.675915569243,96.0884312732052,102.324821548569
