"","alp1","alp2","alp3","alp4","alp5","alp6","alp7","sub1","sub2","sub3","sub4","sub5","sub6","sub7","val1","val2","val3","val4","val5","val6","val7"
"alp1",1,0.541666666666667,0.576923076923077,0.695652173913043,0.5,0.695652173913043,0.5,0.407407407407407,0.464285714285714,0.461538461538462,0.423076923076923,0.52,0.44,0.413793103448276,0.571428571428571,0.62962962962963,0.576923076923077,0.5,0.517241379310345,0.62962962962963,0.571428571428571
"alp2",0.541666666666667,1,0.555555555555556,0.481481481481481,0.6,0.666666666666667,0.592592592592593,0.444444444444444,0.448275862068966,0.392857142857143,0.461538461538462,0.5,0.321428571428571,0.448275862068966,0.607142857142857,0.551724137931034,0.615384615384615,0.592592592592593,0.607142857142857,0.607142857142857,0.666666666666667
"alp3",0.576923076923077,0.555555555555556,1,0.571428571428571,0.62962962962963,0.692307692307692,0.678571428571429,0.482758620689655,0.533333333333333,0.535714285714286,0.5,0.592592592592593,0.413793103448276,0.642857142857143,0.689655172413793,0.75,0.703703703703704,0.807692307692308,0.814814814814815,0.689655172413793,0.75
"alp4",0.695652173913043,0.481481481481481,0.571428571428571,1,0.555555555555556,0.555555555555556,0.607142857142857,0.464285714285714,0.571428571428571,0.464285714285714,0.379310344827586,0.464285714285714,0.5,0.517241379310345,0.678571428571429,0.740740740740741,0.62962962962963,0.607142857142857,0.678571428571429,0.678571428571429,0.678571428571429
"alp5",0.5,0.6,0.62962962962963,0.555555555555556,1,0.555555555555556,0.666666666666667,0.464285714285714,0.517241379310345,0.413793103448276,0.379310344827586,0.464285714285714,0.344827586206897,0.517241379310345,0.678571428571429,0.678571428571429,0.62962962962963,0.666666666666667,0.620689655172414,0.740740740740741,0.678571428571429
"alp6",0.695652173913043,0.666666666666667,0.692307692307692,0.555555555555556,0.555555555555556,1,0.607142857142857,0.464285714285714,0.517241379310345,0.518518518518518,0.481481481481481,0.576923076923077,0.444444444444444,0.517241379310345,0.620689655172414,0.678571428571429,0.571428571428571,0.666666666666667,0.678571428571429,0.620689655172414,0.678571428571429
"alp7",0.5,0.592592592592593,0.678571428571429,0.607142857142857,0.666666666666667,0.607142857142857,1,0.517241379310345,0.566666666666667,0.571428571428571,0.433333333333333,0.571428571428571,0.5,0.620689655172414,0.785714285714286,0.724137931034483,0.678571428571429,0.714285714285714,0.724137931034483,0.785714285714286,0.724137931034483
"sub1",0.407407407407407,0.444444444444444,0.482758620689655,0.464285714285714,0.464285714285714,0.464285714285714,0.517241379310345,1,0.72,0.6,0.56,0.666666666666667,0.583333333333333,0.653846153846154,0.533333333333333,0.533333333333333,0.433333333333333,0.466666666666667,0.533333333333333,0.533333333333333,0.533333333333333
"sub2",0.464285714285714,0.448275862068966,0.533333333333333,0.571428571428571,0.517241379310345,0.517241379310345,0.566666666666667,0.72,1,0.592592592592593,0.555555555555556,0.653846153846154,0.64,0.642857142857143,0.633333333333333,0.633333333333333,0.533333333333333,0.566666666666667,0.633333333333333,0.633333333333333,0.633333333333333
"sub3",0.461538461538462,0.392857142857143,0.535714285714286,0.464285714285714,0.413793103448276,0.518518518518518,0.571428571428571,0.6,0.592592592592593,1,0.56,0.6,0.652173913043478,0.653846153846154,0.533333333333333,0.533333333333333,0.433333333333333,0.466666666666667,0.533333333333333,0.533333333333333,0.533333333333333
