"","plot1","plot2","plot3","plot4","plot5","plot6","plot7","plot8","plot9","plot10","plot11","plot12","plot13","plot14","plot15","plot16","plot17","plot18","plot19","plot20","plot21"
"plot1",1,0.5,0.75,0.25,0.2,0.5,0.25,0.2,0.5,0.2,0.25,0.166666666666667,0.5,0.166666666666667,0.666666666666667,0.75,0,0,0.25,0.2,0.333333333333333
"plot2",0.5,1,0.75,0.25,0.5,0.5,0.25,0.2,0.2,0.5,0.666666666666667,0.166666666666667,0.5,0.166666666666667,0.25,0.4,0,0.25,0.25,0.5,0
"plot3",0.75,0.75,1,0.2,0.4,0.75,0.2,0.166666666666667,0.4,0.4,0.5,0.333333333333333,0.75,0.333333333333333,0.5,0.6,0,0.2,0.2,0.4,0.25
"plot4",0.25,0.25,0.2,1,0.666666666666667,0,0,0.666666666666667,0.25,0.25,0,0.2,0.25,0.2,0,0.2,0,0.333333333333333,1,0,0
"plot5",0.2,0.5,0.4,0.666666666666667,1,0.2,0,0.5,0.2,0.5,0.25,0.4,0.5,0.4,0,0.166666666666667,0,0.666666666666667,0.666666666666667,0.2,0
"plot6",0.5,0.5,0.75,0,0.2,1,0.25,0,0.2,0.2,0.666666666666667,0.4,0.5,0.4,0.666666666666667,0.4,0,0.25,0,0.5,0.333333333333333
"plot7",0.25,0.25,0.2,0,0,0.25,1,0.25,0.25,0.25,0.333333333333333,0.2,0,0.2,0.333333333333333,0.5,0.5,0,0,0.666666666666667,0
"plot8",0.2,0.2,0.166666666666667,0.666666666666667,0.5,0,0.25,1,0.5,0.5,0,0.4,0.2,0.4,0,0.4,0.333333333333333,0.25,0.666666666666667,0.2,0
"plot9",0.5,0.2,0.4,0.25,0.2,0.2,0.25,0.5,1,0.5,0,0.4,0.5,0.4,0.25,0.75,0.333333333333333,0,0.25,0.2,0.333333333333333
"plot10",0.2,0.5,0.4,0.25,0.5,0.2,0.25,0.5,0.5,1,0.25,0.4,0.5,0.4,0,0.4,0.333333333333333,0.25,0.25,0.5,0
"plot11",0.25,0.666666666666667,0.5,0,0.25,0.666666666666667,0.333333333333333,0,0,0.25,1,0.2,0.25,0.2,0.333333333333333,0.2,0,0.333333333333333,0,0.666666666666667,0
"plot12",0.166666666666667,0.166666666666667,0.333333333333333,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.2,1,0.4,1,0.2,0.333333333333333,0.25,0.5,0.2,0.4,0.25
"plot13",0.5,0.5,0.75,0.25,0.5,0.5,0,0.2,0.5,0.5,0.25,0.4,1,0.4,0.25,0.4,0,0.25,0.25,0.2,0.333333333333333
"plot14",0.166666666666667,0.166666666666667,0.333333333333333,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.2,1,0.4,1,0.2,0.333333333333333,0.25,0.5,0.2,0.4,0.25
"plot15",0.666666666666667,0.25,0.5,0,0,0.666666666666667,0.333333333333333,0,0.25,0,0.333333333333333,0.2,0.25,0.2,1,0.5,0,0,0,0.25,0.5
"plot16",0.75,0.4,0.6,0.2,0.166666666666667,0.4,0.5,0.4,0.75,0.4,0.2,0.333333333333333,0.4,0.333333333333333,0.5,1,0.25,0,0.2,0.4,0.25
"plot17",0,0,0,0,0,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0,0.25,0,0.25,1,0,0,0.333333333333333,0
"plot18",0,0.25,0.2,0.333333333333333,0.666666666666667,0.25,0,0.25,0,0.25,0.333333333333333,0.5,0.25,0.5,0,0,0,1,0.333333333333333,0.25,0
"plot19",0.25,0.25,0.2,1,0.666666666666667,0,0,0.666666666666667,0.25,0.25,0,0.2,0.25,0.2,0,0.2,0,0.333333333333333,1,0,0
"plot20",0.2,0.5,0.4,0,0.2,0.5,0.666666666666667,0.2,0.2,0.5,0.666666666666667,0.4,0.2,0.4,0.25,0.4,0.333333333333333,0.25,0,1,0
"plot21",0.333333333333333,0,0.25,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.25,0.333333333333333,0.25,0.5,0.25,0,0,0,0,1
